CODE,CPV_HU,CPV_EN
38126400-8,Földfelszíni szélmérő műszerek,Wind surface observing apparatus
38127000-1,Meteorológiai állomások,Weather stations
38128000-8,Meteorológiai eszközök tartozékai,Meteorology instrument accessories
38200000-7,Geológiai és geofizikai eszközök,Geological and geophysical instruments
38210000-0,Földtani iránytű,Geological compasses
38220000-3,Földtani kutatóberendezések,Geological prospecting apparatus
38221000-0,Földrajzi információs rendszerek (GIS vagy vele egyenértékű),Geographic information systems (GIS or equivalent)
38230000-6,Elektromágneses geofizikai eszközök,Electromagnetic geophysical instruments
38240000-9,Geofizikai műszerek gravitáció mérésére,Gravity geophysical instruments
38250000-2,Geofizikai műszerek indukált polarizáció mérésére,Induced polarization IP geophysical instruments
38260000-5,Geofizikai műszerek a mágneses tér vizsgálatára,Magnetometer geophysical instruments
38270000-8,Geofizikai műszerek ellenállás mérésére,Resistivity geophysical instruments
38280000-1,Graviméterek,Gravimeters
38290000-4,"Földmérő, hidrográfiai, oceanográfiai és hidrológiai műszerek és berendezések","Surveying, hydrographic, oceanographic and hydrological instruments and appliances"
38291000-1,Távolságmérő készülékek,Telemetry apparatus
38292000-8,Hidrográfiai műszerek,Hydrographic instruments
38293000-5,Szeizmológiai mérőberendezés,Seismic equipment
38294000-2,Teodolitok,Theodolites
38295000-9,Topográfiai mérőberendezés,Topography equipment
38296000-6,Földmérő műszerek,Surveying instruments
38300000-8,Mérőeszközök,Measuring instruments
38310000-1,Precíziós mérlegek,Precision balances
38311000-8,Elektronikus mérlegek és tartozékok,Electronic scales and accessories
38311100-9,Elektronikus analitikai mérlegek,Electronic analytical balances
38311200-0,Elektronikus technikai mérlegek,Electronic technical balances
38311210-3,Kalibrálósúlyok,Calibration weights
38320000-4,Rajzasztalok,Drafting tables
38321000-1,Rajzgépek,Drafting machines
38322000-8,Pantográfok,Pantographs
38323000-5,Logarlécek,Slide rules
38330000-7,Kézi hosszúságmérő műszerek,Hand-held instruments for measuring length
38331000-4,Derékszögű vonalzók,Squares
38340000-0,Mennyiségmérő műszerek,Instruments for measuring quantities
38341000-7,Sugárzásmérő készülékek,Apparatus for measuring radiation
38341100-8,Elektronsugaras adatrögzítők,Electron-beam recorders
38341200-9,Sugárzási dózismérő műszerek,Radiation dosimeters
38341300-0,Árammennyiség-mérő műszerek,Instruments for measuring electrical quantities
38341310-3,Ampermérők,Ammeters
38341320-6,Voltmérők,Voltmeters
38341400-1,Geiger–Müller-számlálók,Geiger counters
38341500-2,Szennyeződésjelző műszerek,Contamination-monitoring devices
38341600-3,Sugárzásfigyelő monitorok,Radiation monitors
38342000-4,Oszcilloszkópok,Oscilloscopes
38342100-5,Oszcillográfok,Oscillographs
38343000-1,Hibafigyelő berendezések,Error-monitoring equipment
38344000-8,Szennyezésfigyelő készülékek,Pollution-monitoring devices
38400000-9,Fizikai jellemzők ellenőrzésére szolgáló műszerek,Instruments for checking physical characteristics
38410000-2,Mérőkészülékek,Metering instruments
38411000-9,Hidrométerek,Hydrometers
38412000-6,Hőmérsékletmérők,Thermometers
38413000-3,Pirométerek,Pyrometers
38414000-0,Higrométerek,Hygrometers
38415000-7,Pszichrométerek,Psychrometers
38416000-4,PH-mérők,PH meters
38417000-1,Termoelemek,Thermocouples
38418000-8,Kaloriméterek,Calorimeters
38420000-5,"Folyadék vagy gáz áramlásának, szintjének és nyomásának mérésére szolgáló műszerek","Instruments for measuring flow, level and pressure of liquids and gases"
38421000-2,Áramlásmérő berendezések,Flow-measuring equipment
38421100-3,Vízmérő órák,Water meters
38421110-6,Áramlásmérők,Flowmeters
38422000-9,Szintmérő berendezések,Level-measuring equipment
38423000-6,Nyomásmérő berendezések,Pressure-measuring equipment
38423100-7,Nyomásmérők,Pressure gauges
38424000-3,Mérő- és ellenőrző berendezések,Measuring and control equipment
38425000-0,Áramlástani felszerelések,Fluid mechanics equipment
38425100-1,Manométer,Manometers
38425200-2,Viszkoziméter,Viscosimeters
38425300-3,Mélységmérő,Depth indicators
38425400-4,Szerkezetvizsgáló készülék,Structure estimation apparatus
38425500-5,Szilárdságvizsgáló készülék,Strength estimation apparatus
38425600-6,Piknométer,Pycnometers
38425700-7,Felületifeszültség-mérő eszközök,Surface tension measuring instruments
38425800-8,Denzitométer,Densitometers
38426000-7,Voltaméter,Coulometers
38427000-4,Fluxusmérő,Fluxmeters
38428000-1,Reométer,Rheometers
38429000-8,Rotaméterek,Rotameters
38430000-8,Észlelő- és analizálóberendezések,Detection and analysis apparatus
38431000-5,Észlelőkészülékek,Detection apparatus
38431100-6,Gázérzékelő készülékek,Gas-detection apparatus
38431200-7,Füstérzékelő készülékek,Smoke-detection apparatus
38431300-8,Hibakereső készülékek,Fault detectors
38432000-2,Analitikai műszerek,Analysis apparatus
38432100-3,Gázanalizáló berendezések,Gas-analysis apparatus
38432200-4,Kromatográfok,Chromatographs
38432210-7,Gázkromatográfok,Gas chromatographs
38432300-5,Füstanalizáló berendezések,Smoke-analysis apparatus
38433000-9,Spektrométerek,Spectrometers
38433100-0,Tömegspektrométer,Mass spectrometer
38433200-1,Emissziómérő berendezések,Emission measurement equipment
38433210-4,Emissziós spektrométer,Emission spectrometer
38433300-2,Színképelemző,Spectrum analyser
38434000-6,Analizátorok,Analysers
38434100-7,Tágulásanalizátor,Expansion analysers
38434200-8,Hangerősségmérő berendezések,Sound-measuring equipment
38434210-1,Szonométer,Sonometers
38434220-4,Hangsebesség-analizátor,Sound velocity analyzers
38434300-9,Zajszintmérő berendezések,Noise-measuring equipment
38434310-2,Decibelmérő eszköz,Decibel meter
38434400-0,Rezgésanalizátorok,Vibration analysers
38434500-1,Biokémiai analizátorok,Biochemical analysers
38434510-4,Citométerek,Cytometers
38434520-7,Véranalizátorok,Blood analysers
38434530-0,Tejanalizátorok,Milk analysers
38434540-3,Orvosbiológiai berendezések,Biomedical equipment
38434550-6,Vérsejtszámlálók,Blood-cell counters
38434560-9,Kémiai analizátorok,Chemistry analyser
38434570-2,Hematológiai analizátorok,Haematology analysers
38434580-5,Immunmeghatározó analizátorok,Immunoassay analysers
38435000-3,Folyadékérzékelő berendezések,Apparatus for detecting fluids
38436000-0,Rázógépek és tartozékok,Shakers and accessories
38436100-1,Mechanikus rázógépek,Mechanical shakers
38436110-4,"Feltét Erlenmeyer-lombikokhoz, rázógépekre",Erlenmeyer flask basket for shakers
38436120-7,"Rögzítőköröm Erlenmeyer-lombikhoz, rázógépekre",Erlenmeyer flask clamps for shakers
38436130-0,Választótölcsér-rázóasztal,Stands for separating funnels
38436140-3,"Perforált lap Erlenmeyer-lombikokat rögzítő körmök felszereléséhez, rázógépekre",Platform for Erlenmeyer flask clamps for shakers
38436150-6,Rázótálca petricsészéhez,Petri dish stand for shakers
38436160-9,Kémcsőrázó feltét rázógépekhez,Test tube stand for shakers
38436170-2,"Adapter lombikokhoz, rázógépekre",Flask adaptor for shakers
38436200-2,Rotációs bepárlók,Rotating evaporators
38436210-5,Védőernyő rotációs bepárlókhoz,Protective shield for rotating evaporators
38436220-8,Forráspont-érzékelő rotációs bepárlókhoz,Boiling temperature sensor for rotating evaporators
38436230-1,Nyomásszabályozó rotációs bepárlókhoz,Pressure regulator for rotating evaporators
38436300-3,Inkubátor-rázógépek,Incubating shakers
38436310-6,Fűtőlapok,Heating plates
38436320-9,Lombikfűtő lapok,Heating plates for flasks
38436400-4,Mágneses rázógépek,Magnetic shakers
38436410-7,Hőszabályozók fűthető mechanikus rázógépekhez,Thermal regulators for mechanical shakers with heating plates
38436500-5,Mechanikus keverők,Mechanical stirrers
38436510-8,Keverőlapátok mechanikus keverőkhöz,Blade impellers for mechanical stirrers
38436600-6,Bemerülő homogenizátorok,Immersion homogenisers
38436610-9,Diszpergáló szerszámok bemerülő homogenizátorokhoz,Dispersing instruments for immersion homogenisers
38436700-7,Ultrahangos dezintegrátorok,Ultrasound disintegrators
38436710-0,Szondák ultrahangos dezintegrátorhoz,Probes for ultrasound disintegrators
38436720-3,Átalakítók ultrahangos dezintegrátorhoz,Converters for ultrasound disintegrators
38436730-6,Folyamatos áramlású kamrák ultrahangos dezintegrátorhoz,Continuous-flow chambers for ultrasound disintegrators
38436800-8,Homogenizátorok forgó lapáttal,Rotating blade homogenizers
38437000-7,Laboratóriumi pipetták és tartozékok,Laboratory pipettes and accessories
38437100-8,Pipetták,Pipettes
38437110-1,Pipettahegy,Pipette tips
38437120-4,Pipettaállványok,Pipette stands
38500000-0,Ellenőrző és tesztelőkészülékek,Checking and testing apparatus
38510000-3,Mikroszkópok,Microscopes
38511000-0,Elektronmikroszkópok,Electron microscopes
38511100-1,Pásztázó elektronmikroszkópok,Scanning electron microscopes
38511200-2,Átvilágító elektronmikroszkópok,Transmission electron microscope
38512000-7,Ion- és molekuláris mikroszkópok,Ion and molecular microscopes
38512100-8,Ionmikroszkópok,Ion microscopes
38512200-9,Molekuláris mikroszkópok,Molecular microscopes
38513000-4,Inverz és fémmikroszkópok,Inverted and metallurgical microscopes
38513100-5,Inverz mikroszkópok,Inverted microscopes
38513200-6,Fémmikroszkópok,Metallurgical microscopes
38514000-1,Sötétlátóteres és pásztázószondás mikroszkópok,Darkfield and scanning probe microscopes
38514100-2,Sötétlátóteres mikroszkópok,Darkfield microscopes
38514200-3,Pásztázószondás mikroszkópok,Scanning probe microscopes
38515000-8,Fluoreszcens és polarizációs mikroszkópok,Fluorescent and polarising microscopes
38515100-9,Polarizációs mikroszkópok,Polarising microscopes
38515200-0,Fluoreszcens mikroszkópok,Fluorescent microscopes
38516000-5,Monokuláris és binokuláris összetett fénymikroszkópok,Monocular and/or binocular light compound microscopes
38517000-2,Akusztikus és vetítő mikroszkópok,Acoustic and projection microscopes
38517100-3,Akusztikus mikroszkópok,Acoustic microscopes
38517200-4,Vetítő mikroszkópok,Projection microscopes
38518000-9,"Széles látószögű, sztereó fénymikroszkópok","Wide field, stereo or dissecting light microscopes"
38518100-0,Széles látószögű mikroszkópok,Wide field microscopes
38518200-1,Sztereó fénymikroszkópok,Stereo or dissecting light microscopes
38519000-6,Különféle mikroszkópalkatrészek,Miscellaneous compounds for microscopes
38519100-7,Megvilágítóegységek mikroszkóphoz,Illuminators for microscopes
38519200-8,Mikroszkópobjektívek,Microscope objectives
38519300-9,Kép- vagy videocsatlakozók mikroszkópokhoz,Photo or video attachments for microscopes
38519310-2,Képcsatlakozók mikroszkópokhoz,Photo attachments for microscopes
38519320-5,Videocsatlakozók mikroszkópokhoz,Video attachments for microscopes
38519400-0,Automatizált mikroszkópasztal,Automated microscope stages
38519500-1,Csereizzó laboratóriumi mikroszkóphoz,Laboratory microscope replacement bulbs
38519600-2,"Szemlencsék, kondenzorlencsék, kollektorlencsék, csövek, tárgyasztalok és porvédő huzatok mikroszkópokhoz","Microscope eyepieces, condensers, collectors, tubes, stages and covers"
38519610-5,Szemlencsék mikroszkópokhoz,Microscope eyepieces
38519620-8,Kondenzorlencsék mikroszkópokhoz,Microscope condensers
38519630-1,Kollektorlencsék mikroszkópokhoz,Microscope collectors
38519640-4,Csövek mikroszkópokhoz,Microscope tubes
38519650-7,Mikroszkópasztalok,Microscope stages
38519660-0,Porvédő huzatok mikroszkópokhoz,Microscope covers
38520000-6,Szkennerek,Scanners
38521000-3,Nyomásszkennerek,Pressure scanners
38522000-0,Kromatográfiás szkennerek,Chromatographic scanners
38527100-6,Dózismérő ionizációs kamrához,Ionization chamber dosimeters
38527200-7,Dózismérő műszerek,Dosimeters
38527300-8,Másodlagos standard dózismérő rendszerek,Secondary standard dosimetry systems
38527400-9,Fantomos dózismérő műszerek,Phantom dosimeters
38530000-9,Diffrakciós műszer,Diffraction apparatus
38540000-2,Gépek és készülékek tesztelésre és mérésre,Machines and apparatus for testing and measuring
38541000-9,Lágyforraszthatóság-vizsgáló berendezések,Solderability testers
38542000-6,Szervohidraulikus vizsgálóberendezés,Servo-hydraulic test apparatus
38543000-3,Gázérzékelő berendezések,Gas-detection equipment
38544000-0,Kábítószer-érzékelő készülékek,Drug detection apparatus
38545000-7,Gázellenőrző berendezés,Gas-testing kits
38546000-4,Robbanóanyag-észlelő készülékek,Explosives detection system
38546100-5,Bombadetektorok,Bomb detectors
38547000-1,Dózismérő rendszer,Dosimetry system
38548000-8,Műszerek járművekhez,Instruments for vehicles
38550000-5,Mérőműszerek,Meters
38551000-2,Energiamérő műszerek,Energy meters
38552000-9,Elektronikus mérőműszerek,Electronic meters
38553000-6,Mágneses mérőműszerek,Magnetic meters
38554000-3,Villamosságmérők,Electricity meters
38560000-8,Teljesítményszámlálók,Production counters
38561000-5,Fordulatszámlálók,Revolution counters
38561100-6,Sebességjelző járművekhez,Speed indicators for vehicles
38561110-9,Tachométerek,Tachometers
38561120-2,Taxiórák,Taxi meters
38562000-2,Stroboszkópok,Stroboscopes
38570000-1,Szabályozó és ellenőrző műszerek és készülékek,Regulating and controlling instruments and apparatus
38571000-8,Sebességkorlátozók,Speed limiters
38580000-4,Sugárzás felhasználásán alapuló nem gyógyászati berendezések,Non-medical equipment based on the use of radiations
38581000-1,Poggyászátvilágító berendezések,Baggage-scanning equipment
38582000-8,Röntgensugár használatán alapuló ellenőrző berendezések,X-ray inspection equipment
38600000-1,Optikai műszerek,Optical instruments
38620000-7,Polarizáló anyag,Polarising material
38621000-4,Száloptikai berendezések,Fibre-optic apparatus
38622000-1,Tükrök,Mirrors
38623000-8,Optikai szűrők,Optical filters
38624000-5,Optikai segédeszközök,Optical aids
38630000-0,Asztronómiai és optikai műszerek,Astronomical and optical instruments
38631000-7,Binokuláris távcsövek,Binoculars
38632000-4,Éjjellátó távcsövek,Nightglasses
38633000-1,Optikai irányzékok,Telescopic sights
38634000-8,Optikai mikroszkópok,Optical microscopes
38635000-5,Teleszkópok,Telescopes
38636000-2,Speciális optikai műszerek,Specialist optical instruments
38636100-3,Lézerek,Lasers
38636110-6,Ipari lézerek,Industrial lasers
38640000-3,Folyadékkristályos készülékek,Liquid crystal devices
38641000-0,Periszkópok,Periscopes
38650000-6,Fényképészeti berendezések,Photographic equipment
38651000-3,Fényképezőgépek,Cameras
38651100-4,Fényképezőgép-lencsék,Camera lenses
38651200-5,Fényképezőgépházak,Camera bodies
38651300-6,Fényképezőgépek nyomólemez vagy nyomóhenger készítésére,Cameras for preparing printing plates or cylinders
38651400-7,Azonnal előhívó (polaroid) fényképezőgépek,Instant print cameras
38651500-8,Filmfelvevő kamerák,Cinematographic cameras
38651600-9,Digitális fényképezőgépek,Digital cameras
38652000-0,Mozgóképvetítő gépek,Cinematographic projectors
38652100-1,Vetítőgépek,Projectors
38652110-4,Diavetítő gépek,Slide projectors
38652120-7,Videovetítő gépek,Video projectors
38652200-2,Nagyítók,Enlargers
38652300-3,Kicsinyítők,Reducers
38653000-7,Fényképészeti laboratóriumi berendezések,Apparatus for photographic laboratories
38653100-8,Villanófények (vaku),Flashlights
38653110-1,Fényképészeti villanólámpák (vakuk),Photographic flashbulbs
38653111-8,Fényképészeti vakukockák,Photographic flashcubes
38653200-9,Fényképészeti nagyítók,Photographic enlargers
38653300-0,Filmelőhívó készülékek és berendezések,Apparatus and equipment for developing film
38653400-1,Vetítővásznak,Projection screens
38654000-4,Mikrofilm- és mikrofiche-készülékek,Microfilm and microfiche equipment
38654100-5,Mikrofilmkészülékek,Microfilm equipment
38654110-8,Mikrofilm-leolvasó készülékek,Microfilm readers
38654200-6,Mikrofiche-készülékek,Microfiche equipment
38654210-9,Mikrofiche-leolvasó készülékek,Microfiche readers
38654300-7,Mikrofotokópia-készülékek,Microform equipment
38654310-0,Mikrofotokópia-leolvasó készülékek,Microform readers
38700000-2,Időpont-regisztráló és hasonló készülékek; parkolóórák,Time registers and the like; parking meters
38710000-5,Időpont-regisztráló készülékek,Time registers
38720000-8,Időpontrögzítő készülékek,Time recorders
38730000-1,Parkolóórák,Parking meters
38731000-8,Zsetonos mérőórák,Token meters
38740000-4,Folyamatszabályozó órák,Process timers
38750000-7,Időkapcsolók,Time switches
38800000-3,Ipari folyamatirányítási készülékek és távirányító berendezések,Industrial process control equipment and remote-control equipment
38810000-6,Ipari folyamatirányítási készülékek,Industrial process control equipment
38820000-9,Távirányító berendezések,Remote-control equipment
38821000-6,Rádiós távirányító berendezések,Radio remote-control apparatus
38822000-3,Távirányítású szirénák,Remote-control siren devices
38900000-4,Különféle értékelő- vagy vizsgálóeszközök,Miscellaneous evaluation or testing instruments
38910000-7,Eszközök higiénia megfigyelésére és vizsgálatára,Hygiene monitoring and testing equipment
38911000-4,Kézi kenetminta-vételi készlet,Manual swab test kits
38912000-1,Automatizált kenetminta-vételi készlet,Automated swab test kits
38920000-0,Eszközök vetőmagokhoz és takarmányhoz,Seed and feed equipment
38921000-7,Gabonaanalizátorok,Grain analysers
38922000-4,Magszámlálók,Seed counters
38923000-1,Takarmányanalizátorok,Feed analysers
38930000-3,Páratartalom- és nedvességmérő eszközök,Humidity and moisture measuring instruments
38931000-0,Hőmérséklet- és páratartalom-ellenőrző készülékek,Temperature humidity testers
38932000-7,Nedvességmérők,Moisture meters
38940000-6,Nukleáris elemző eszközök,Nuclear evaluation instruments
38941000-7,Alfa-számlálók,Alpha counters
38942000-7,Alfa-béta-számlálók,Alpha beta counters
38943000-7,Béta-számlálók,Beta counters
38944000-7,Béta-gamma-számlálók,Beta gamma counters
38945000-7,Gamma-számlálók,Gamma counters
38946000-7,KVP-mérők (csúcsfeszültségmérők),KVP meters
38947000-7,Röntgen-mikroanalizátorok,X-ray microanalysers
38950000-9,Polimeráz láncreakció (PCR),Polymerase Chain Reaction (PCR) equipment
38951000-6,Valós idejű polimeráz láncreakció (PCR),Real-time Polymerase Chain Reaction (PCR) equipment
38960000-2,Indításgátló alkoholszonda,Alcohol ignition lock
38970000-5,"Kutatási, tesztelési és tudományos-műszaki szimulátor","Research, testing and scientific technical simulator"
39000000-2,"Bútorok (beleértve irodai bútorok), lakberendezési cikkek, háztartási berendezések (kivéve világítás) és tisztítótermékek","Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products"
39100000-3,Bútorok,Furniture
39110000-6,"Ülések, székek és kapcsolódó termékek, valamint tartozékok","Seats, chairs and related products, and associated parts"
39111000-3,Ülések,Seats
39111100-4,Forgatható ülések,Swivel seats
39111200-5,Színházi ülések,Theatre seats
39111300-6,Katapultülések,Ejector seats
39112000-0,Ülések,Chairs
39112100-1,Ebédlőszékek,Dining chairs
39113000-7,Különféle ülések és székek,Miscellaneous seats and chairs
39113100-8,Karosszékek,Armchairs
39113200-9,Heverők,Settees
39113300-0,Padülések,Bench seats
39113400-1,Nyugszékek,Deck chairs
39113500-2,Zsámolyok,Stools
39113600-3,Padok,Benches
39113700-4,Lábtartók,Footrests
39114000-4,Szék részei,Parts of seats
39114100-5,Kárpitozás,Upholstering
39120000-9,"Asztalok, szekrények, iróasztalok és könyvszekrények","Tables, cupboards, desk and bookcases"
39121000-6,Íróasztalok és asztalok,Desks and tables
39121100-7,Íróasztalok,Desks
39121200-8,Asztalok,Tables
39122000-3,Szekrények és könyvszekrények,Cupboards and bookcases
39122100-4,Szekrények,Cupboards
39122200-5,Könyvszekrények,Bookcases
39130000-2,Irodabútor,Office furniture
39131000-9,Irodai polcok,Office shelving
39131100-0,Irattároló polcok,Archive shelving
39132000-6,Irattároló rendszerek,Filing systems
39132100-7,Irattároló szekrények,Filing cabinets
39132200-8,Kartotékszekrények,Card-index cabinets
39132300-9,Akasztós irattárolók,Hanging files
39132400-0,Forgó irattárolók,Carousel systems
39132500-1,Irodai kézikocsik,Office trolleys
39133000-3,Kiállító vitrinek,Display units
39134000-0,Számítógépes bútor,Computer furniture
39134100-1,Számítógépes asztalok,Computer tables
39135000-7,Válogatóasztalok,Sorting tables
39135100-8,Válogatókeretek,Sorting frames
39136000-4,Ruhaakasztók,Coat hangers
39137000-1,Vízlágyítók,Water softeners
39140000-5,Háztartási bútor,Domestic furniture
39141000-2,Konyhai bútor és felszerelés,Kitchen furniture and equipment
39141100-3,Polcok,Shelves
39141200-4,Munkalapok,Worktops
39141300-5,Tárolószekrények,Cabinets
39141400-6,Beépített konyhák,Fitted kitchens
39141500-7,Elszívószekrények,Fume cupboards
39142000-9,Kerti bútorok,Garden furniture
39143000-6,"Hálószobai, étkező- és nappali szobai bútorok","Bedroom, dining room and living-room furniture"
39143100-7,Hálószobai bútorok,Bedroom furniture
39143110-0,"Ágyak, ágyfelszerelés és különleges lakástextíliák",Beds and bedding and specialist soft furnishings
39143111-7,Matracalátétek,Mattress supports
39143112-4,Matracok és ágybetétek,Mattresses
39143113-1,Különleges lakástextíliák,Specialist soft furnishings
39143114-8,Villamos fűtésű takarók,Electric blankets
39143115-5,Gumilepedők,Rubber sheets
39143116-2,Gyermekágyak,Cots
39143120-3,Hálószobai bútorok az ágyon és az ágyneműn kívül,"Bedroom furniture, other than beds and beddings"
39143121-0,Gardróbok,Wardrobes
39143122-7,Fiókos szekrények,Chests of drawers
39143123-4,Éjjeliszekrények,Bedside tables
39143200-8,Étkezőbútorok,Dining-room furniture
39143210-1,Ebédlőasztalok,Dining tables
39143300-9,Nappali szobai bútorok,Living-room furniture
39143310-2,Dohányzóasztalok,Coffee tables
39144000-3,Fürdőszobabútorok,Bathroom furniture
39145000-0,Borospince felszerelései,Wine cellar fixtures
39150000-8,Különféle bútorok és felszerelések,Miscellaneous furniture and equipment
39151000-5,Különféle bútorok,Miscellaneous furniture
39151100-6,Ruhafogasok,Racking
39151200-7,Munkapadok,Work benches
39151300-8,Elemes bútor,Modular furniture
39152000-2,Mozgatható könyvespolcok,Mobile bookshelves
39153000-9,Konferenciatermi bútor,Conference-room furniture
39153100-0,Könyvállvány,Bookstands
39154000-6,Kiállítási bútor,Exhibition equipment
39154100-7,Kiállítási állványok,Exhibition stands
39155000-3,Könyvtári bútor,Library furniture
39155100-4,Könyvtári berendezések,Library equipment
39156000-0,Váró- és fogadótermi bútor,Lounge and reception-area furniture
39157000-7,Bútorok részei,Parts of furniture
39160000-1,Iskolabútor,School furniture
39161000-8,Óvodai bútor,Kindergarten furniture
39162000-5,Oktatási berendezések,Educational equipment
39162100-6,Tanítási berendezések,Teaching equipment
39162110-9,Oktatási kellékek,Teaching supplies
39162200-7,Képzési segédanyagok és eszközök,Training aids and devices
39170000-4,Bolti bútor,Shop furniture
39171000-1,Árubemutató vitrinek,Display cases
39172000-8,Pultok,Counters
39172100-9,Kiszolgálópultok,Servery counters
39173000-5,Tárolóegységek,Storage units
39174000-2,Cégtáblák,Shop signs
39180000-7,Laboratóriumi bútor,Laboratory furniture
39181000-4,Laboratóriumi munkapadok,Laboratory benching
39190000-0,Tapéta és egyéb falburkolat,Wallpaper and other coverings
39191000-7,Papír- vagy kartonalapú falburkolat,Paper- or paperboard-based wall coverings
39191100-8,Tapéta,Wallpaper
39192000-4,Textil falborító,Textile wall coverings
39193000-1,Papír- vagy kartonalapú padlóburkolat,Paper- or paperboard-based floor coverings
39200000-4,Lakberendezési cikkek,Furnishing
39220000-0,"Konyhai felszerelés, háztartási cikkek és élelmezési kellékek","Kitchen equipment, household and domestic items and catering supplies"
39221000-7,Konyhai felszerelések,Kitchen equipment
39221100-8,Konyhai edények,Kitchenware
39221110-1,Főzőedények,Crockery
39221120-4,Csészék és poharak,Cups and glasses
39221121-1,Csészék,Cups
39221122-8,Kisméretű csészék,Cuplets
39221123-5,Ivópohár,Drinking glasses
39221130-7,Élelmiszertartályok,Food containers
39221140-0,Kulacsok,Water canteens
39221150-3,Vákuumpalackok,Vacuum flasks
39221160-6,Tálcák,Trays
39221170-9,Lecsöpögtetőállványok,Drying racks
39221180-2,Konyhai eszközök,Cooking utensils
39221190-5,Tányértartók,Plate racks
39221200-9,Asztali edények,Tableware
39221210-2,Tányérok,Plates
39221220-5,Tálak,Dishes
39221230-8,Csészealjak,Saucers
39221240-1,Tálak,Bowls
39221250-4,Csiszolt üvegpalack,Decanters
39221260-7,Szemetesedények,Mess tins
39222000-4,Élelmezési kellékek,Catering supplies
39222100-5,Egyszer használatos élelmezési kellékek,Disposable catering supplies
39222110-8,Egyszer használatos evőeszközök és tányérok,Disposable cutlery and plates
39222120-1,Egyszer használatos csészék,Disposable cups
39222200-6,Élelmiszertálcák,Food trays
39223000-1,"Kanalak, villák","Spoons, forks"
39223100-2,Kanál,Spoons
39223200-3,Villa,Forks
39224000-8,"Különféle típusú seprűk és kefék, ecsetek és egyéb áruk",Brooms and brushes and other articles of various types
39224100-9,Seprűk,Brooms
39224200-0,"Kefék, ecsetek",Brushes
39224210-3,Festőecsetek,Painters' brushes
39224300-1,"Seprűk és kefék, ecsetek és más áruk háztartási tisztításhoz",Brooms and brushes and other articles for household cleaning
39224310-4,WC-kefék,Toilet brushes
39224320-7,Szivacsok,Sponges
39224330-0,Vödrök,Buckets
39224340-3,Kukák,Bins
39224350-6,Szemétlapát,Dustpans
39225000-5,"Öngyújtók, éghető anyagból készült áruk, pirotechnikai anyagok, gyufák és folyékony vagy cseppfolyósított gáz tüzelőanyagok","Lighters, articles of combustible materials, pyrotechnics, matches and liquid or liquefied gas fuels"
39225100-6,Öngyújtók,Cigarette lighters
39225200-7,Öngyulladó vegyületek,Pyrophoric alloys
39225300-8,Gyufák,Matches
39225400-9,Öngyújtógázok,Gas fuels for lighters
39225500-0,Pirotechnika,Pyrotechnics
39225600-1,Gyertyák,Candles
39225700-2,"Palackok, befőttesüvegek és fiolák","Bottles, jars and phials"
39225710-5,Palackok,Bottles
39225720-8,Befőttesüvegek,Jars
39225730-1,Fiolák,Phials
39226000-2,"Ballonok, palacktartó rekeszek, flakonok és orsók","Carboys, bottle cases, flasks and bobbins"
39226100-3,Palacktartó rekeszek,Bottle cases
39226200-4,Ballonok és flakonok,Carboys and flasks
39226210-7,Ballonok,Carboys
39226220-0,Flakonok,Flasks
39226300-5,Orsók és csévék,Spools or bobbins
39227000-9,Varró- és kötőtűk és gyűszűk,"Sewing and knitting needles, and thimbles"
39227100-0,Varró- vagy kötőtűk,Sewing needles or knitting needles
39227110-3,Varrótűk,Sewing needles
39227120-6,Kötőtűk,Knitting needles
39227200-1,Gyűszűk,Thimbles
39230000-3,Különleges célú termékek,Special-purpose product
39234000-1,Komposztgyűjtők,Compost boxes
39235000-8,Zsetonok,Tokens
39236000-5,Festékszóró fülkék,Spray booths
39237000-2,Hójelző póznák,Snow poles
39240000-6,Evőeszköz,Cutlery
39241000-3,Kés és olló,Knives and scissors
39241100-4,Kés,Knives
39241110-7,Asztali kés,Table knives
39241120-0,Konyhakés,Cooks' knives
39241130-3,Tapétavágó kések,Utility knives
39241200-5,Olló,Scissors
39254000-7,Órák,Horology
39254100-8,Egyéb órák,Clocks
39254110-1,Ébresztőórák,Alarm clocks
39254120-4,Faliórák,Wall clocks
39254130-7,Üveg faliórához,Glass for clocks
39260000-2,Kézbesítőtálcák és íróasztali berendezések,Delivery trays and desk equipment
39261000-9,Kézbesítőtálcák,Delivery trays
39263000-3,Íróasztali berendezések,Desk equipment
39263100-4,Íróasztali készletek,Desk sets
39264000-0,Cserélhető lapos dosszié vagy iratgyűjtők,Fittings for loose-leaf binders or files
39265000-7,Horgok és karikák,Hooks and eyes
39270000-5,Vallási tárgyak,Religious articles
39290000-1,Különféle bútorzat,Miscellaneous furnishing
39291000-8,Mosodai kellékek,Laundry supplies
39292000-5,Iskolai táblák író- vagy rajzfelülettel vagy -eszközökkel,School slates or boards with writing or drawing surfaces or instruments
39292100-6,Osztálytermi táblák,Blackboards
39292110-9,Táblatörlő,Erasers for blackboards
39292200-7,Palatáblák,Writing slates
39292300-8,Rajzeszközök,Drawing instruments
39292400-9,Íróeszközök,Writing instruments
39292500-0,Vonalzó,Rulers
39293000-2,Mesterséges termékek,Artificial products
39293100-3,Gyümölcsutánzatok,Artificial fruit
